ID,name_seq,collection_time,index,is.node,pmsmdemdef,STN,AMRany,ESBLR,CiprofloxacinR,AzithromycinR,Genotype,Genotype_simplified,Phylowave_group
1,SRR10466993,2019.852055,0.162902478,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
2,SRR11142340,2020.114754,0.149030763,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
3,SRR11016592,2020.040984,0.151524448,no,non-pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
4,SRR10519464,2019.865753,0.16342781,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
5,SRR10599015,2019.90137,0.162318998,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
6,SRR11215168,2020.136612,0.149055124,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
7,SRR10666903,2019.917808,0.160885783,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
8,SRR11215155,2020.136612,0.149037039,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
9,SRR10748691,2019.942466,0.161617364,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
10,SRR11361817,2020.155738,0.147245887,no,pMSM,STN,1,0,1,0,3.6.1.1.2,3.6.1.1.2,1
11,SRR10874279,2020.005464,0.155737996,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
12,SRR10519443,2019.868493,0.163073638,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
13,SRR8878447,2019.230137,0.168023878,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
14,SRR10760851,2019.947945,0.16019331,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
15,SRR10915001,2020.02459,0.15285874,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
16,SRR10858714,2019.99726,0.1553453,no,non-pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
17,SRR10852206,2019.978082,0.157294773,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
18,SRR8369244,2018.961644,0.176587797,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
19,SRR10419612,2019.827397,0.163788895,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
20,SRR10916960,2020.032787,0.151874754,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
21,SRR8737852,2019.172603,0.1710617,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
22,SRR8924477,2019.249315,0.167054174,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
23,SRR8588620,2019.10137,0.173121738,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
24,SRR8775480,2019.208219,0.169024595,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
25,SRR8746514,2019.169863,0.171051758,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
26,SRR8771453,2019.194521,0.169724379,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
27,SRR8856256,2019.19726,0.169443397,no,non-pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
28,SRR8737843,2019.172603,0.170823076,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
29,SRR8473234,2019.021918,0.174654653,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
30,SRR8444441,2019.016438,0.174722777,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
31,SRR8524548,2019.063014,0.173736881,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
32,SRR10874275,2020.002732,0.153993577,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
33,SRR9311818,2019.441096,0.166393999,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
34,SRR10559595,2019.884932,0.160973317,no,non-pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
35,SRR10698329,2019.928767,0.160139049,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
36,SRR9595020,2019.463014,0.166265748,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
37,SRR10228164,2019.690411,0.161286207,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
38,SRR9845578,2019.539726,0.1614988,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
39,SRR8656995,2019.136986,0.171169076,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
40,SRR8204010,2018.852055,0.175199193,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
41,SRR8427499,2018.978082,0.175312577,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
42,SRR7522847,2018.50411,0.173641729,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
43,SRR8369243,2018.947945,0.175241648,no,Travel,Travel,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
44,SRR9845577,2019.534247,0.160191415,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
45,SRR9720393,2019.50411,0.161453744,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
46,SRR7527628,2018.49863,0.173143878,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
47,SRR8508335,2019.038356,0.17278122,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
48,SRR7896000,2018.69863,0.171799573,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
49,SRR8464947,2019.008219,0.173284225,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
50,SRR7827037,2018.605479,0.171846165,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
51,SRR7842131,2018.6,0.171682114,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
52,SRR11206407,2020.128415,0.144405871,no,pMSM,STN,1,1,1,1,3.6.1.1.2,3.6.1.1.2,1
53,SRR8820077,2019.213699,0.165835815,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
54,SRR7833103,2018.660274,0.170981499,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
55,SRR8419002,2018.99726,0.172946378,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
56,SRR7866100,2018.682192,0.172263546,no,non-pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
57,SRR9259171,2019.293151,0.165813131,no,non-pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
58,SRR9260897,2019.312329,0.165474678,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
59,SRR8381973,2018.961644,0.175240244,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
60,SRR7895999,2018.70137,0.172447656,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
61,SRR8444439,2018.989041,0.174709781,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
62,SRR8586206,2019.065753,0.172577387,no,non-pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
63,SRR8771456,2019.191781,0.16868069,no,non-pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
64,SRR9306495,2019.424658,0.165461497,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
65,SRR8419427,2018.978082,0.175195576,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
66,SRR8523764,2019.041096,0.173045467,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
67,SRR8299399,2018.912329,0.176151143,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
68,SRR11080624,2020.092896,0.147221549,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
69,SRR11048309,2020.081967,0.148916375,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
70,SRR11016597,2020.062842,0.150167208,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
71,SRR10971421,2020.043716,0.148806814,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
72,SRR10971409,2020.043716,0.148811989,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
73,SRR10879425,2020.005464,0.153061492,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
74,SRR11096683,2020.10929,0.144941203,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
75,SRR11048338,2020.081967,0.148339885,no,non-pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
76,SRR10806408,2019.964384,0.156160227,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
77,SRR8369247,2018.942466,0.175218698,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
78,SRR9836885,2019.523288,0.160652655,no,Travel,Travel,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
79,SRR8419087,2018.964384,0.175136249,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
80,SRR8114788,2018.786301,0.174744133,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
81,SRR8148954,2018.808219,0.174421355,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
82,SRR7839308,2018.580822,0.172343079,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
83,SRR10212135,2019.709589,0.158436209,no,pMSM,STN,1,0,1,0,3.6.1.1.2,3.6.1.1.2,1
84,SRR10212226,2019.706849,0.158511432,no,pMSM,STN,1,0,1,0,3.6.1.1.2,3.6.1.1.2,1
85,SRR10198857,2019.679452,0.159307245,no,pMSM,STN,1,0,1,0,3.6.1.1.2,3.6.1.1.2,1
86,SRR7839319,2018.59726,0.171905841,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
87,SRR8366130,2018.931507,0.175492599,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
88,SRR7500939,2018.490411,0.173183867,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
89,SRR8634610,2019.10137,0.171425397,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
90,SRR10397405,2019.810959,0.161740622,no,pMSM,STN,1,0,1,0,3.6.1.1.2,3.6.1.1.2,1
91,SRR8366133,2018.945205,0.174850661,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
92,SRR8508340,2019.038356,0.172820706,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
93,SRR11195324,2020.117486,0.144425695,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
94,SRR10858718,2019.986301,0.151157548,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
95,SRR7839347,2018.619178,0.172247835,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
96,SRR8634609,2019.131507,0.170221441,no,non-pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
97,SRR7833102,2018.641096,0.172392114,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
98,SRR7849994,2018.594521,0.171566514,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
99,SRR10228160,2019.693151,0.158940983,no,pMSM,STN,1,0,1,0,3.6.1.1.2,3.6.1.1.2,1
100,SRR7500911,2018.484932,0.172880582,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
101,SRR8553837,2019.076712,0.171651823,no,non-pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
102,SRR8114772,2018.789041,0.173775603,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
103,SRR8405057,2018.978082,0.17385863,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
104,SRR10133060,2019.673973,0.156613276,no,Travel,Travel,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
105,SRR7850035,2018.547945,0.172034066,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
106,SRR8263045,2018.882192,0.173380978,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
107,SRR7500992,2018.487671,0.171668339,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
108,SRR10917029,2020.032787,0.149543321,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
109,SRR10519435,2019.865753,0.159130317,no,non-pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
110,SRR10742422,2019.939726,0.157286844,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
111,SRR10397409,2019.810959,0.161544736,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
112,SRR10397392,2019.821918,0.161226457,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
113,SRR10302287,2019.767123,0.160021594,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
114,SRR10962096,2020.038251,0.148896036,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
115,SRR10527361,2019.882192,0.158306228,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
116,SRR10247341,2019.736986,0.159394938,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
117,SRR10271372,2019.756164,0.159736135,no,pMSM,STN,1,1,1,1,3.6.1.1.2,3.6.1.1.2,1
118,SRR10599116,2019.906849,0.157456405,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
119,SRR11096700,2020.095628,0.145514467,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
