"","Accession","Group","AMRany","ESBLR","CiprofloxacinR","AzithromycinR","Genotype"
"1","SRR3531685","pMSM",0,0,0,0,"3.7.29.1.2"
"2","SRR3531699","non-pMSM",0,0,0,0,"3.7"
"3","SRR3531887","non-pMSM",1,1,0,1,"3.7.25"
"4","SRR5017975","Travel",1,0,1,0,"3.6.1.1"
"5","SRR3531445","pMSM",1,0,1,1,"3.6.1.1.2"
"6","SRR4195740","pMSM",1,0,0,1,"3.7.25"
"7","SRR3530409","pMSM",1,1,0,0,"3.6.1"
"8","SRR3531895","Travel",1,1,1,0,"3.6.1.1.1"
"9","SRR3531237","pMSM",1,0,1,0,"3.6.1.1.2"
"10","SRR3530458","Travel",1,0,1,0,"3.4.1"
"11","SRR4195483","pMSM",1,0,1,0,"3.6.1.1"
"12","SRR3531697","non-pMSM",1,0,1,0,"3.7.18"
"13","SRR3531858","non-pMSM",0,0,0,0,"3.7.18"
"14","SRR3530528","non-pMSM",1,0,1,0,"3.7.18"
"15","SRR3530591","non-pMSM",0,0,0,0,"3.7.18"
"16","SRR4787300","Travel",0,0,0,0,"3.7.18"
"17","SRR3530545","non-pMSM",0,0,0,0,"3.7.11"
"18","SRR4897662","Travel",0,0,0,0,"3.7.16"
"19","SRR3530612","pMSM",1,0,1,0,"3.6.1.1"
"20","SRR4195769","non-pMSM",1,0,1,0,"3.6.1.1"
"21","SRR3530627","pMSM",0,0,0,0,"2.11.4"
"22","SRR3531869","non-pMSM",1,0,1,0,"3.4.1"
"23","SRR5017552","Travel",0,0,0,0,"3.7.9"
"24","SRR3530806","non-pMSM",0,0,0,0,"3.4.1"
"25","SRR3530462","pMSM",1,0,1,0,"3.6.1.1.2"
"26","SRR3531860","Travel",0,0,0,0,"3.4.1"
"27","SRR5029862","non-pMSM",0,0,0,0,"3.7.30.4"
"28","SRR5006341","non-pMSM",1,0,0,1,"3.7.21"
"29","SRR3530553","pMSM",1,0,0,1,"3.7.29.1.2"
"30","SRR4786911","non-pMSM",0,0,0,0,"3.6.3"
"31","SRR4897275","non-pMSM",0,0,0,0,"3.7.17"
"32","SRR3530594","pMSM",1,0,1,0,"3.6.1.1.2"
"33","SRR4787376","non-pMSM",0,0,0,0,"3.7.21"
"34","SRR3531906","pMSM",0,0,0,0,"3.7.3"
"35","SRR3531914","Travel",1,0,1,0,"3.7.18"
"36","SRR3531850","non-pMSM",0,0,0,0,"3.7"
"37","SRR3531696","non-pMSM",0,0,0,0,"3.7.10"
"38","SRR3530810","non-pMSM",0,0,0,0,"3.7.17"
"39","SRR3530431","Travel",1,0,1,0,"3.6.1.1"
"40","SRR4897119","Travel",1,0,1,0,"3.6.1.1"
"41","SRR3530434","non-pMSM",1,1,1,0,"3.6.2"
"42","SRR3530149","non-pMSM",0,0,0,0,"2.6"
"43","SRR4897469","non-pMSM",0,0,0,0,"3.4.1"
"44","SRR3530637","non-pMSM",0,0,0,0,"3.7"
"45","SRR3531916","Travel",0,0,0,0,"3.7.11"
"46","SRR3530533","pMSM",0,0,0,0,"3.7.11"
"47","SRR3530470","non-pMSM",0,0,0,0,"3.7.11"
"48","SRR3530453","non-pMSM",0,0,0,0,"3.7.10"
"49","SRR3530621","Travel",0,0,0,0,"3.4.1"
"50","SRR3531867","non-pMSM",1,1,1,0,"3.6.2"
"51","SRR3530546","non-pMSM",0,0,0,0,"3.7.16"
"52","SRR4787354","pMSM",0,0,0,0,"3.6.3"
"53","SRR3530635","non-pMSM",0,0,0,0,"3.7.30.4"
"54","SRR5006356","non-pMSM",1,1,1,0,"3.6.2"
"55","SRR4786055","Travel",1,0,1,0,"3.6.1.1"
"56","SRR4897472","Travel",1,0,1,0,"3.6.1.1"
"57","SRR5005537","non-pMSM",1,1,0,0,"3.7.30.1"
"58","SRR3531920","Travel",1,1,0,0,"3.7.25"
"59","SRR3531923","non-pMSM",0,0,0,0,NA
"60","SRR3530561","Travel",1,0,1,0,"3.6.1.1"
"61","SRR3530427","non-pMSM",0,0,0,0,"3.6.3"
"62","SRR3530337","pMSM",1,0,0,1,"3.7.25"
"63","SRR3530414","Travel",1,0,1,0,"3.6.1.1"
"64","SRR5018274","non-pMSM",1,0,1,0,"3.7.18"
"65","SRR4788259","pMSM",1,0,1,0,"3.6.1.1"
"66","SRR4897644","pMSM",1,0,0,1,"3.7.25"
"67","SRR3531780","Travel",0,0,0,0,"3.7.11"
"68","SRR3531898","Travel",0,0,0,0,"3.7.18"
"69","SRR4897217","non-pMSM",0,0,0,0,"3.6.3"
"70","SRR3530439","Travel",0,0,0,0,"2.7.4"
"71","SRR3530428","non-pMSM",0,0,0,0,"3.4.1"
"72","SRR3530514","pMSM",1,0,0,1,"3.7.18"
"73","SRR3530432","non-pMSM",0,0,0,0,"3.4.1"
"74","SRR3531868","Travel",1,0,1,0,"3.6.1.1"
"75","SRR4788147","Travel",0,0,0,0,"3.7.21"
"76","SRR5024531","pMSM",1,0,0,1,"3.7.25"
"77","SRR3531074","pMSM",1,0,0,1,"3.7.25"
"78","SRR3531234","Travel",0,0,0,0,"3.7.7"
"79","SRR4788296","non-pMSM",1,0,1,0,"3.6.1.1.1"
"80","SRR3530625","Travel",1,0,1,0,"3.6.1.1"
"81","SRR3531876","non-pMSM",1,1,1,0,"3.7.30.1"
"82","SRR3530619","pMSM",1,0,0,1,"3.7.25"
"83","SRR3531863","non-pMSM",1,0,1,0,"3.6.1.1.3"
"84","SRR3530608","non-pMSM",1,0,1,0,"3.6.1.1"
"85","SRR4897201","pMSM",1,0,1,0,"3.6.1.1.3.1"
"86","SRR3530436","pMSM",1,0,1,0,"3.7.18"
"87","SRR4897574","non-pMSM",1,0,0,1,"3.7.21"
"88","SRR4787152","pMSM",0,0,0,0,"3.7.30.4"
"89","SRR3530568","pMSM",1,0,1,0,"3.6.1.1"
