"","Accession","Group","AMRany","ESBLR","CiprofloxacinR","AzithromycinR","Genotype","STNGroups"
"1","SRR3531685","pMSM",0,0,0,0,"3.7.29.1.2","STN"
"2","SRR3531699","non-pMSM",0,0,0,0,"3.7","non-STN"
"3","SRR3531887","non-pMSM",1,1,0,1,"3.7.25","STN"
"4","SRR5017975","Travel",1,0,1,0,"3.6.1.1","Travel"
"5","SRR3531445","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"6","SRR4195740","pMSM",1,0,0,1,"3.7.25","STN"
"7","SRR3530409","pMSM",1,1,0,0,"3.6.1","STN"
"8","SRR3531895","Travel",1,1,1,0,"3.6.1.1.1","Travel"
"9","SRR3531237","pMSM",1,0,1,0,"3.6.1.1.2","STN"
"10","SRR3530458","Travel",1,0,1,0,"3.4.1","Travel"
"11","SRR4195483","pMSM",1,0,1,0,"3.6.1.1","non-STN"
"12","SRR3531697","non-pMSM",1,0,1,0,"3.7.18","non-STN"
"13","SRR3531858","non-pMSM",0,0,0,0,"3.7.18","non-STN"
"14","SRR3530528","non-pMSM",1,0,1,0,"3.7.18","non-STN"
"15","SRR3530591","non-pMSM",0,0,0,0,"3.7.18","non-STN"
"16","SRR4787300","Travel",0,0,0,0,"3.7.18","Travel"
"17","SRR3530545","non-pMSM",0,0,0,0,"3.7.11","non-STN"
"18","SRR4897662","Travel",0,0,0,0,"3.7.16","Travel"
"19","SRR3530612","pMSM",1,0,1,0,"3.6.1.1","STN"
"20","SRR4195769","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"21","SRR3530627","pMSM",0,0,0,0,"2.11.4","STN"
"22","SRR3531869","non-pMSM",1,0,1,0,"3.4.1","non-STN"
"23","SRR5017552","Travel",0,0,0,0,"3.7.9","Travel"
"24","SRR3530806","non-pMSM",0,0,0,0,"3.4.1","non-STN"
"25","SRR3530462","pMSM",1,0,1,0,"3.6.1.1.2","STN"
"26","SRR3531860","Travel",0,0,0,0,"3.4.1","Travel"
"27","SRR5029862","non-pMSM",0,0,0,0,"3.7.30.4","non-STN"
"28","SRR5006341","non-pMSM",1,0,0,1,"3.7.21","non-STN"
"29","SRR3530553","pMSM",1,0,0,1,"3.7.29.1.2","STN"
"30","SRR4786911","non-pMSM",0,0,0,0,"3.6.3","non-STN"
"31","SRR4897275","non-pMSM",0,0,0,0,"3.7.17","non-STN"
"32","SRR3530594","pMSM",1,0,1,0,"3.6.1.1.2","STN"
"33","SRR4787376","non-pMSM",0,0,0,0,"3.7.21","non-STN"
"34","SRR3531906","pMSM",0,0,0,0,"3.7.3","non-STN"
"35","SRR3531914","Travel",1,0,1,0,"3.7.18","Travel"
"36","SRR3531850","non-pMSM",0,0,0,0,"3.7","non-STN"
